Provincia;Concello;Parroquia;Lugar;
LUGO;ABADÍN;Abadín (Santa María);Abadín;
LUGO;ABADÍN;Abadín (Santa María);Carballás, Os;
LUGO;ABADÍN;Abadín (Santa María);Convento, O;
LUGO;ABADÍN;Abadín (Santa María);Correo, O;
LUGO;ABADÍN;Abadín (Santa María);Fernandaño;
LUGO;ABADÍN;Abadín (Santa María);Gontán;
LUGO;ABADÍN;Abadín (Santa María);Pedralba;
LUGO;ABADÍN;Abadín (Santa María);Pedreiras;
LUGO;ABADÍN;Abadín (Santa María);Poceira, A;
LUGO;ABADÍN;Abadín (Santa María);Provecende;
LUGO;ABADÍN;Abadín (Santa María);Torre, A;
LUGO;ABADÍN;Abeledo (Santa María);Abeledo de Abaixo;
LUGO;ABADÍN;Abeledo (Santa María);Abeledo de Arriba;
LUGO;ABADÍN;Abeledo (Santa María);Cabo de Vila;
LUGO;ABADÍN;Abeledo (Santa María);Campo, O;
LUGO;ABADÍN;Abeledo (Santa María);Carballo, O;
LUGO;ABADÍN;Abeledo (Santa María);Carboeiro, O;
LUGO;ABADÍN;Abeledo (Santa María);Caxigos, Os;
LUGO;ABADÍN;Abeledo (Santa María);Coroza, A;
LUGO;ABADÍN;Abeledo (Santa María);Coto, O;
LUGO;ABADÍN;Abeledo (Santa María);Fervoira, A;
LUGO;ABADÍN;Abeledo (Santa María);Foxacos;
LUGO;ABADÍN;Abeledo (Santa María);Outeiro, O;
LUGO;ABADÍN;Abeledo (Santa María);Pasandellos, Os;
LUGO;ABADÍN;Abeledo (Santa María);Reboira, A;
LUGO;ABADÍN;Abeledo (Santa María);Regas, As;
LUGO;ABADÍN;Abeledo (Santa María);Sabugos;
LUGO;ABADÍN;Abeledo (Santa María);Torre, A;
LUGO;ABADÍN;Abeledo (Santa María);Touceiras;
LUGO;ABADÍN;Abeledo (Santa María);Toxeiro;
LUGO;ABADÍN;Abeledo (Santa María);Trasón;
LUGO;ABADÍN;Abeledo (Santa María);Valiña, A;
LUGO;ABADÍN;Abeledo (Santa María);Vesada, A;
LUGO;ABADÍN;Aldixe (San Pedro);Batán;
LUGO;ABADÍN;Aldixe (San Pedro);Campo, O;
LUGO;ABADÍN;Aldixe (San Pedro);Carboeiro;
LUGO;ABADÍN;Aldixe (San Pedro);Casadán;
LUGO;ABADÍN;Aldixe (San Pedro);Casarón, O;
LUGO;ABADÍN;Aldixe (San Pedro);Costa, A;
LUGO;ABADÍN;Aldixe (San Pedro);Cotillón;
LUGO;ABADÍN;Aldixe (San Pedro);Espiño, O;
LUGO;ABADÍN;Aldixe (San Pedro);Lavandeira, A;
LUGO;ABADÍN;Aldixe (San Pedro);Liñares;
LUGO;ABADÍN;Aldixe (San Pedro);Mudia, A;
LUGO;ABADÍN;Aldixe (San Pedro);Pena;
LUGO;ABADÍN;Aldixe (San Pedro);Petaíño, O;
LUGO;ABADÍN;Aldixe (San Pedro);Ponte, A;
LUGO;ABADÍN;Aldixe (San Pedro);Ventoso;
LUGO;ABADÍN;Aldixe (San Pedro);Verdes, Os;
LUGO;ABADÍN;Baroncelle (Santiago);Abelleira, A;
LUGO;ABADÍN;Baroncelle (Santiago);Asperón, O;
LUGO;ABADÍN;Baroncelle (Santiago);Augalevada;
LUGO;ABADÍN;Baroncelle (Santiago);Barreiros, Os;
LUGO;ABADÍN;Baroncelle (Santiago);Casavella, A;
LUGO;ABADÍN;Baroncelle (Santiago);Caseiros, Os;
LUGO;ABADÍN;Baroncelle (Santiago);Castiñeiro, O;
LUGO;ABADÍN;Baroncelle (Santiago);Cornello;
LUGO;ABADÍN;Baroncelle (Santiago);Fondo, O;
LUGO;ABADÍN;Baroncelle (Santiago);Fonte do Mouro, A;
LUGO;ABADÍN;Baroncelle (Santiago);Fraga, A;
LUGO;ABADÍN;Baroncelle (Santiago);Golpilleiras;
LUGO;ABADÍN;Baroncelle (Santiago);Lodeiro, O;
LUGO;ABADÍN;Baroncelle (Santiago);Piñeiro;
LUGO;ABADÍN;Baroncelle (Santiago);Porto do Río;
LUGO;ABADÍN;Baroncelle (Santiago);Ríos;
LUGO;ABADÍN;Baroncelle (Santiago);Seminaus;
LUGO;ABADÍN;Baroncelle (Santiago);Uceira Grande, A;
LUGO;ABADÍN;Baroncelle (Santiago);Uceira Pequena, A;
LUGO;ABADÍN;Baroncelle (Santiago);Vacaferreira;
LUGO;ABADÍN;Baroncelle (Santiago);Valado, O;
LUGO;ABADÍN;Baroncelle (Santiago);Vilatán;
LUGO;ABADÍN;Cabaneiro (San Bartolomeu);Currás, Os;
LUGO;ABADÍN;Cabaneiro (San Bartolomeu);Formado;
LUGO;ABADÍN;Cabaneiro (San Bartolomeu);Odreiro;
LUGO;ABADÍN;Cabaneiro (San Bartolomeu);Panda, A;
LUGO;ABADÍN;Cabaneiro (San Bartolomeu);Pedreira, A;
LUGO;ABADÍN;Cabaneiro (San Bartolomeu);Picheira, A;
LUGO;ABADÍN;Cabaneiro (San Bartolomeu);Porto Pequeno, O;
LUGO;ABADÍN;Candia (San Pedro);Barrio do Rei, O;
LUGO;ABADÍN;Candia (San Pedro);Carballás;
LUGO;ABADÍN;Candia (San Pedro);Carballido;
LUGO;ABADÍN;Candia (San Pedro);Castros, Os;
LUGO;ABADÍN;Candia (San Pedro);Cristo, O;
LUGO;ABADÍN;Candia (San Pedro);Galgueira, A;
LUGO;ABADÍN;Candia (San Pedro);Grandela, A;
LUGO;ABADÍN;Candia (San Pedro);Louside;
LUGO;ABADÍN;Candia (San Pedro);Pedrafita;
LUGO;ABADÍN;Candia (San Pedro);Penamoura, A;
LUGO;ABADÍN;Candia (San Pedro);Ponterroxal;
LUGO;ABADÍN;Candia (San Pedro);Prazas, As;
LUGO;ABADÍN;Candia (San Pedro);Rego de Candia;
LUGO;ABADÍN;Candia (San Pedro);Rozavella;
LUGO;ABADÍN;Candia (San Pedro);Ruxidoiro;
LUGO;ABADÍN;Castromaior (San Xoán);Arnela, A;
LUGO;ABADÍN;Castromaior (San Xoán);Barral, O;
LUGO;ABADÍN;Castromaior (San Xoán);Billetes;
LUGO;ABADÍN;Castromaior (San Xoán);Bioces;
LUGO;ABADÍN;Castromaior (San Xoán);Canteirada, A;
LUGO;ABADÍN;Castromaior (San Xoán);Celme;
LUGO;ABADÍN;Castromaior (San Xoán);Egoeiras;
LUGO;ABADÍN;Castromaior (San Xoán);Entrelorríos;
LUGO;ABADÍN;Castromaior (San Xoán);Fontefeal;
LUGO;ABADÍN;Castromaior (San Xoán);Fontemuín;
LUGO;ABADÍN;Castromaior (San Xoán);Fosas;
LUGO;ABADÍN;Castromaior (San Xoán);Fraga;
LUGO;ABADÍN;Castromaior (San Xoán);Grandón, O;
LUGO;ABADÍN;Castromaior (San Xoán);Paredes, As;
LUGO;ABADÍN;Castromaior (San Xoán);Pazo, O;
LUGO;ABADÍN;Castromaior (San Xoán);Pedreira, A;
LUGO;ABADÍN;Castromaior (San Xoán);Rega do Foxo;
LUGO;ABADÍN;Castromaior (San Xoán);Roma;
LUGO;ABADÍN;Castromaior (San Xoán);Roxoa;
LUGO;ABADÍN;Castromaior (San Xoán);Sever;
LUGO;ABADÍN;Castromaior (San Xoán);Suarriba;
LUGO;ABADÍN;Castromaior (San Xoán);Tarroeira, A;
LUGO;ABADÍN;Corvite (San Pedro);Cabeceira, A;
LUGO;ABADÍN;Corvite (San Pedro);Carracedos, Os;
LUGO;ABADÍN;Corvite (San Pedro);Casás;
LUGO;ABADÍN;Corvite (San Pedro);Chouselas;
LUGO;ABADÍN;Corvite (San Pedro);Cizán;
LUGO;ABADÍN;Corvite (San Pedro);Espiño do Cal, O;
LUGO;ABADÍN;Corvite (San Pedro);Fumeira, A;
LUGO;ABADÍN;Corvite (San Pedro);Laxe, A;
LUGO;ABADÍN;Corvite (San Pedro);Outarelo;
LUGO;ABADÍN;Corvite (San Pedro);Redemuíños;
LUGO;ABADÍN;Corvite (San Pedro);Relota;
LUGO;ABADÍN;Corvite (San Pedro);Torre, A;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Arantes, Os;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Barqueira, A;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Beos, Os;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Caboxo de Abaixo;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Caboxo de Arriba;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Cal, O;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Cavadas, As;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Celeirote, O;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Cima de Vila;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Fanoi Vello;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Fornos, Os;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Goela;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Irexa, A;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Laguceiras, As;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Lidín;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Membribe;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Paxariño, O;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Porta de Bouza, A;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Regorredeiro;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Tezán;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Vilar Novo, O;
LUGO;ABADÍN;Fanoi (Sta. Mª Madanela);Zurreira, A;
LUGO;ABADÍN;Fraiás (San Pedro);Aldea de Abaixo, A;
LUGO;ABADÍN;Fraiás (San Pedro);Aldea de Arriba, A;
LUGO;ABADÍN;Fraiás (San Pedro);Capela, A;
LUGO;ABADÍN;Fraiás (San Pedro);Ferreiros, Os;
LUGO;ABADÍN;Fraiás (San Pedro);Gontán de Abaixo;
LUGO;ABADÍN;Fraiás (San Pedro);Portorrego;
LUGO;ABADÍN;Galgao (San Martiño);Bicos;
LUGO;ABADÍN;Galgao (San Martiño);Carreira, A;
LUGO;ABADÍN;Galgao (San Martiño);Currás, Os;
LUGO;ABADÍN;Galgao (San Martiño);Liñares, Os;
LUGO;ABADÍN;Galgao (San Martiño);Maramiga, A;
LUGO;ABADÍN;Galgao (San Martiño);Piegueira, A;
LUGO;ABADÍN;Galgao (San Martiño);Rego do Cal, O;
LUGO;ABADÍN;Galgao (San Martiño);Samordás, Os;
LUGO;ABADÍN;Galgao (San Martiño);Someiro, O;
LUGO;ABADÍN;Goás, As (San Pedro);Butarreira;
LUGO;ABADÍN;Goás, As (San Pedro);Casanova, A;
LUGO;ABADÍN;Goás, As (San Pedro);Costa, A;
LUGO;ABADÍN;Goás, As (San Pedro);Gaúte;
LUGO;ABADÍN;Goás, As (San Pedro);Leiras;
LUGO;ABADÍN;Goás, As (San Pedro);Pumariño;
LUGO;ABADÍN;Goás, As (San Pedro);Vidás, Os;
LUGO;ABADÍN;Goás, As (San Pedro);Vilar, O;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Augas, As;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Cabana, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Cabeceira, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Carballeira, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Carboeiro, O;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Carracedos, Os;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Casavella, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Chouselas;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Coído, O;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Cotiño, O;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Croa, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Currás, Os;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Fondal, O;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Fonte do Trobo, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Fraga de Vila;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Fumeira, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Igrexario, O;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Penela;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Porto da Moura;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Pumarega, A;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Rego da Páxara;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Ruavella;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Tremoído;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Trinta, Os;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Vilar de Nuño;
LUGO;ABADÍN;Graña de Vilarente, A (Sta. Mª Madanela);Vista Alegre;
LUGO;ABADÍN;Labrada (San Pedro);Agros, Os;
LUGO;ABADÍN;Labrada (San Pedro);Atalaia;
LUGO;ABADÍN;Labrada (San Pedro);Barral, O;
LUGO;ABADÍN;Labrada (San Pedro);Basilias, As;
LUGO;ABADÍN;Labrada (San Pedro);Cabeira, A;
LUGO;ABADÍN;Labrada (San Pedro);Calvo, O;
LUGO;ABADÍN;Labrada (San Pedro);Capeleira, A;
LUGO;ABADÍN;Labrada (San Pedro);Carballal;
LUGO;ABADÍN;Labrada (San Pedro);Carozo;
LUGO;ABADÍN;Labrada (San Pedro);Casavella, A;
LUGO;ABADÍN;Labrada (San Pedro);Catadoiro, O;
LUGO;ABADÍN;Labrada (San Pedro);Chao do Covo;
LUGO;ABADÍN;Labrada (San Pedro);Chao do Outeiro;
LUGO;ABADÍN;Labrada (San Pedro);Choqueira, A;
LUGO;ABADÍN;Labrada (San Pedro);Cordal, O;
LUGO;ABADÍN;Labrada (San Pedro);Coto, O;
LUGO;ABADÍN;Labrada (San Pedro);Currovedo;
LUGO;ABADÍN;Labrada (San Pedro);Fondo de Vila;
LUGO;ABADÍN;Labrada (San Pedro);Fonte, A;
LUGO;ABADÍN;Labrada (San Pedro);Freixeiro, O;
LUGO;ABADÍN;Labrada (San Pedro);Lagoas, As;
LUGO;ABADÍN;Labrada (San Pedro);Lamacide;
LUGO;ABADÍN;Labrada (San Pedro);Lestide;
LUGO;ABADÍN;Labrada (San Pedro);Outeiro, O;
LUGO;ABADÍN;Labrada (San Pedro);Pardela, A;
LUGO;ABADÍN;Labrada (San Pedro);Paridoiro, O;
LUGO;ABADÍN;Labrada (San Pedro);Pazo, O;
LUGO;ABADÍN;Labrada (San Pedro);Portovello;
LUGO;ABADÍN;Labrada (San Pedro);Poza, A;
LUGO;ABADÍN;Labrada (San Pedro);Ratoeira;
LUGO;ABADÍN;Labrada (San Pedro);Sisalde;
LUGO;ABADÍN;Labrada (San Pedro);Tezán;
LUGO;ABADÍN;Labrada (San Pedro);Tivián;
LUGO;ABADÍN;Labrada (San Pedro);Trandeiras;
LUGO;ABADÍN;Labrada (San Pedro);Vigas, As;
LUGO;ABADÍN;Labrada (San Pedro);Xanaz;
LUGO;ABADÍN;Labrada (San Pedro);Xuadento;
LUGO;ABADÍN;Moncelos (Santiago);Alto, O;
LUGO;ABADÍN;Moncelos (Santiago);Cañoteira, A;
LUGO;ABADÍN;Moncelos (Santiago);Carba;
LUGO;ABADÍN;Moncelos (Santiago);Cargas, As;
LUGO;ABADÍN;Moncelos (Santiago);Carragal, O;
LUGO;ABADÍN;Moncelos (Santiago);Casavella, A;
LUGO;ABADÍN;Moncelos (Santiago);Fermín, O;
LUGO;ABADÍN;Moncelos (Santiago);Formigueiro, O;
LUGO;ABADÍN;Moncelos (Santiago);Furada, A;
LUGO;ABADÍN;Moncelos (Santiago);Golpilleiras, As;
LUGO;ABADÍN;Moncelos (Santiago);Moar;
LUGO;ABADÍN;Moncelos (Santiago);Redemuíños;
LUGO;ABADÍN;Moncelos (Santiago);Ribela;
LUGO;ABADÍN;Moncelos (Santiago);Sinde;
LUGO;ABADÍN;Moncelos (Santiago);Tarraxís, Os;
LUGO;ABADÍN;Moncelos (Santiago);Valado, O;
LUGO;ABADÍN;Moncelos (Santiago);Veiguiñas, As;
LUGO;ABADÍN;Moncelos (Santiago);Xubín;
LUGO;ABADÍN;Moncelos (Santiago);Zoñán;
LUGO;ABADÍN;Montouto (Santa María);Arca, A;
LUGO;ABADÍN;Montouto (Santa María);Cabana Pallaza, A;
LUGO;ABADÍN;Montouto (Santa María);Carboeiro, O;
LUGO;ABADÍN;Montouto (Santa María);Laxe, A;
LUGO;ABADÍN;Montouto (Santa María);Leiras de Abaixo, As;
LUGO;ABADÍN;Montouto (Santa María);Leiras de Arriba, As;
LUGO;ABADÍN;Montouto (Santa María);Ponte, A;
LUGO;ABADÍN;Montouto (Santa María);Rego Cavado, O;
LUGO;ABADÍN;Montouto (Santa María);Salgueiro, O;
LUGO;ABADÍN;Montouto (Santa María);Serra, A;
LUGO;ABADÍN;Montouto (Santa María);Vacariza, A;
LUGO;ABADÍN;Montouto (Santa María);Valiña, A;
LUGO;ABADÍN;Montouto (Santa María);Veiga, A;
LUGO;ABADÍN;Quende (Santiago);Bouza, A;
LUGO;ABADÍN;Quende (Santiago);Campo, O;
LUGO;ABADÍN;Quende (Santiago);Candabade;
LUGO;ABADÍN;Quende (Santiago);Carballiños, Os;
LUGO;ABADÍN;Quende (Santiago);Casanova, A;
LUGO;ABADÍN;Quende (Santiago);Corgas, As;
LUGO;ABADÍN;Quende (Santiago);Fontepresa;
LUGO;ABADÍN;Quende (Santiago);Framil;
LUGO;ABADÍN;Quende (Santiago);Gontán de Abaixo;
LUGO;ABADÍN;Quende (Santiago);Gontán de Arriba;
LUGO;ABADÍN;Quende (Santiago);Moncalvo;
LUGO;ABADÍN;Quende (Santiago);Outeiro, O;
LUGO;ABADÍN;Quende (Santiago);Péreces, Os;
LUGO;ABADÍN;Quende (Santiago);Ribeira, A;
LUGO;ABADÍN;Quende (Santiago);Titos, Os;
LUGO;ABADÍN;Quende (Santiago);Xesta, A;
LUGO;ABADÍN;Romariz (San Xoán);Anellos, Os;
LUGO;ABADÍN;Romariz (San Xoán);Ares, Os;
LUGO;ABADÍN;Romariz (San Xoán);Arriba;
LUGO;ABADÍN;Romariz (San Xoán);Barreiro, O;
LUGO;ABADÍN;Romariz (San Xoán);Bidueiro, O;
LUGO;ABADÍN;Romariz (San Xoán);Cabeceiras, As;
LUGO;ABADÍN;Romariz (San Xoán);Campa Vella, A;
LUGO;ABADÍN;Romariz (San Xoán);Cepo, O;
LUGO;ABADÍN;Romariz (San Xoán);Choi;
LUGO;ABADÍN;Romariz (San Xoán);Concello, O;
LUGO;ABADÍN;Romariz (San Xoán);Costeiro, O;
LUGO;ABADÍN;Romariz (San Xoán);Cruceiro, O;
LUGO;ABADÍN;Romariz (San Xoán);Curraíño, O;
LUGO;ABADÍN;Romariz (San Xoán);Currás, Os;
LUGO;ABADÍN;Romariz (San Xoán);Espiñarcao;
LUGO;ABADÍN;Romariz (San Xoán);Fieitiña, A;
LUGO;ABADÍN;Romariz (San Xoán);Fonte, A;
LUGO;ABADÍN;Romariz (San Xoán);Fraga Vella, A;
LUGO;ABADÍN;Romariz (San Xoán);Lama Grande;
LUGO;ABADÍN;Romariz (San Xoán);Pedreira, A;
LUGO;ABADÍN;Romariz (San Xoán);Porto do Río;
LUGO;ABADÍN;Romariz (San Xoán);Regos, Os;
LUGO;ABADÍN;Romariz (San Xoán);Requeixo, O;
LUGO;ABADÍN;Romariz (San Xoán);Rúa, A;
LUGO;ABADÍN;Romariz (San Xoán);Samargosas, As;
LUGO;ABADÍN;Romariz (San Xoán);Valiña de Freire, A;
LUGO;ABADÍN;Romariz (San Xoán);Valiña, A;
LUGO;ABADÍN;Romariz (San Xoán);Xaral, O;
LUGO;ABADÍN;Romariz (San Xoán);Xunqueiras, As;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Cabanela;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Cabaza;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Casanova, A;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Cernada, A;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Coído, O;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Costa;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Fabega;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Furada, A;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Gabín;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Igrexario, O;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Mariños, Os;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Moa;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Montecelo;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Orxeira, A;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Paleira;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Pedrosa, A;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Podrés, As;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Portos Carros, Os;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Prado da Valiña;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Rabuña;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Rego das Pedras, O;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Rieiro;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Touceira, A;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Valiño, O;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Veiga, A;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Vilaseñor;
LUGO;ABADÍN;Seivane de Vilarente (San Xoán);Xácoma;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Adro, O;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Asadiño, O;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Barreiros, Os;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Beade;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Borreiros de Abaixo;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Cadaval, O;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Calvelos;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Cancelada;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Chichorra, A;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Cruz, A;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Fixós;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Fonte, A;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Loureiro, O;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Merdil;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Naranxo, O;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Peneda, A;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Picota, A;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Quintás, As;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Regueiro da Vila, O;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);San Marco;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Telleiros, Os;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Tenencia, A;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Vilanova;
CORUÑA, A;ABEGONDO;Abegondo (Santaia);Vilariño;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Capela, A;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Carballal;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Igrexario, O;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Patarelo, O;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Quintán;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Regueira, A;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Ribeira, A;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Souto, O;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Suasviñas;
CORUÑA, A;ABEGONDO;Cabanas (San Xián);Torrente;
CORUÑA, A;ABEGONDO;Cerneda (San Salvador);Calva, A;
CORUÑA, A;ABEGONDO;Cerneda (San Salvador);Casas Grandes, As;
CORUÑA, A;ABEGONDO;Cerneda (San Salvador);Choupín, O;
CORUÑA, A;ABEGONDO;Cerneda (San Salvador);Fonte, A;
CORUÑA, A;ABEGONDO;Cerneda (San Salvador);Garabatos;
CORUÑA, A;ABEGONDO;Cos (Santo Estevo);Aldea de Abaixo, A;
CORUÑA, A;ABEGONDO;Cos (Santo Estevo);Barral de Abaixo, O;
CORUÑA, A;ABEGONDO;Cos (Santo Estevo);Barral de Arriba, O;
CORUÑA, A;ABEGONDO;Cos (Santo Estevo);Carballal, O;
CORUÑA, A;ABEGONDO;Cos (Santo Estevo);Cruceiro, O;
CORUÑA, A;ABEGONDO;Cos (Santo Estevo);Fraga, A;
CORUÑA, A;ABEGONDO;Cos (Santo Estevo);Igrexa, A;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Agrolongo;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Carril, O;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Casas Grandes, As;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Castro, O;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Covelo, O;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Macenda;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Rúa, A;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Tras da Igrexa;
CORUÑA, A;ABEGONDO;Crendes (San Pedro);Vilar;
CORUÑA, A;ABEGONDO;Cullergondo (Santa María);Centro de Aldea;
CORUÑA, A;ABEGONDO;Cullergondo (Santa María);Cerca, A;
CORUÑA, A;ABEGONDO;Cullergondo (Santa María);Cima de Vila;
CORUÑA, A;ABEGONDO;Cullergondo (Santa María);Figueiras;
CORUÑA, A;ABEGONDO;Cullergondo (Santa María);Souto Calvo;
CORUÑA, A;ABEGONDO;Cullergondo (Santa María);Xuanzo;
CORUÑA, A;ABEGONDO;Figueroa (San Miguel);Damil de Abaixo;
CORUÑA, A;ABEGONDO;Figueroa (San Miguel);Damil de Arriba;
CORUÑA, A;ABEGONDO;Figueroa (San Miguel);Erminde;
CORUÑA, A;ABEGONDO;Figueroa (San Miguel);Figueroa Pequeno;
CORUÑA, A;ABEGONDO;Figueroa (San Miguel);Manga, A;
CORUÑA, A;ABEGONDO;Figueroa (San Miguel);Outeiro, O;
CORUÑA, A;ABEGONDO;Figueroa (San Miguel);Praza, A;
CORUÑA, A;ABEGONDO;Folgoso (Santa Dorotea);Aldea de Abaixo, A;
CORUÑA, A;ABEGONDO;Folgoso (Santa Dorotea);Aldea de Arriba, A;
CORUÑA, A;ABEGONDO;Folgoso (Santa Dorotea);Beche;
CORUÑA, A;ABEGONDO;Folgoso (Santa Dorotea);Braña, A;
